[39,52,32,29,50,45,49,62,22,11,24,9,50,53,30,20]
[862,276,1244,1016,879,1272,687,352,1248,220,525,598,726,1625,427,858]
[80,377,145,313,124,393,173,384,390,250,102,328,124,185,76,120]
[49,53,22,37,41,27,33,27,27,49,15,17,9,55,46,25]
[52,31,30,21,39,35,58,30,25,48,29,36,32,65,25,48]
[13,15,15,26,19,26,4,16,27,6,7,6,18,16,8,13]
[21,21,9,8,20,28,18,10,14,3,17,12,22,4,12,21]
[478,899,185,519,300,140,887,935,631,1014,1093,1093,466,527,565,724]
[279,371,477,510,466,466,660,779,194,605,686,753,449,598,999,793]
[10,21,21,18,9,13,8,13,10,28,7,8,7,11,18,15]
[5,13,5,14,12,12,6,15,19,10,5,7,7,3,13,6]
[22,11,7,19,13,12,8,18,18,26,15,7,15,21,8,8]
[11,2,16,17,12,9,6,22,21,7,32,18,14,9,20,9]
[558,316,244,260,955,280,864,1122,837,731,813,716,694,1171,477,302]
[1231,722,997,1191,870,1297,334,320,305,1082,1304,747,1093,430,75,786]
[10,15,12,6,2,9,23,11,5,14,13,29,31,2,12,5]
[6,5,11,10,10,6,5,11,5,19,7,6,9,5,17,8]
[27,10,17,28,8,9,5,18,9,14,22,17,27,11,16,9]
[20,9,8,27,14,21,15,9,3,15,5,24,2,7,19,12]
[716,979,496,671,568,1032,1186,679,593,633,390,652,222,358,548,185]
[877,926,480,506,649,591,1228,437,276,1252,1027,421,436,835,636,1368]
[9,4,17,12,20,20,15,7,17,9,9,4,9,14,11,4]
[11,7,7,6,8,5,7,10,9,9,2,6,5,6,9,5]
[24,7,21,11,25,11,16,9,6,22,21,34,4,11,30,8]
[9,25,31,21,22,5,14,11,9,8,24,4,9,7,12,14]
[816,1619,1330,285,673,638,547,1398,120,1084,617,456,630,340,432,1202]
[321,399,338,562,354,1131,1167,700,1087,313,1076,1102,1012,628,829,552]
[12,8,24,13,13,8,11,15,8,9,14,8,21,20,11,7]
[7,6,1,4,11,3,5,5,6,11,11,9,4,4,7,3]
[46,23,17,75,6,21,62,19,47,21,29,28,19,23,36,78]
[2,4,5,7,3,4,4,2,3,6,3,3,5,3,9,5]
