[19,8,14,9,29,2,17,28,12,3,36,18,15,15,19,9]
[62,58,157,127,88,193,88,34,123,100,104,86,91,97,118,116]
[75,187,116,45,119,99,32,139,212,136,27,21,161,111,193,52]
[179,165,97,161,94,59,29,57,147,56,81,105,51,324,52,246]
[106,182,202,65,86,231,121,52,117,57,218,102,135,145,98,84]
[7,14,22,37,7,17,19,15,21,20,27,15,77,18,80,39]
[23,13,23,35,47,5,27,26,20,23,37,34,6,19,10,15]
[40,14,14,14,21,33,12,18,9,10,17,7,12,8,19,4]
[42,22,17,19,18,26,20,32,69,22,30,34,14,14,20,21]
[24,16,21,41,10,31,18,24,7,10,33,28,12,30,21,10]
[11,38,21,33,44,5,21,32,33,31,7,46,16,52,25,19]
[9,16,54,19,16,10,18,64,24,34,32,39,38,8,56,30]
[38,30,46,12,25,14,12,10,19,32,16,24,45,28,20,36]
[19,24,30,24,20,23,10,30,41,24,11,11,18,15,38,40]
[11,14,9,4,12,15,34,30,22,38,10,31,26,19,68,10]
[9,19,26,34,34,37,25,6,32,13,24,8,20,20,13,9]
[14,33,13,9,31,20,20,19,10,12,23,41,32,23,24,27]
[36,40,12,48,19,13,18,24,29,37,31,16,5,14,8,20]
[69,20,18,39,8,8,18,31,28,74,31,41,15,14,11,30]
[24,29,22,25,33,39,11,30,32,16,12,13,14,8,41,22]
[54,75,73,136,54,263,160,96,57,216,85,237,148,123,70,33]
[20,22,25,10,37,20,35,22,33,12,32,26,15,12,15,46]
