This is computation ability:
[
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
[5,4,3,1,0,0,8,0,1,4,0,5,1,4,10,2,7,7,2,0,4,3,3,1,3,1,3,1,7,3,1,2,3,5,4,3,7,1,3,1,4,1,4,2,3,4,7,2,1,3,2,0,2,0,0,4,1,0,2,0,5,2,0,2,]
[11,7,22,42,28,13,22,31,5,32,15,34,18,16,20,7,68,15,11,31,6,46,17,24,16,38,53,15,13,8,6,15,25,18,15,16,15,26,16,14,41,47,15,12,20,20,8,1,47,14,24,28,61,5,15,3,56,61,20,41,43,7,38,23,]
[9,25,44,15,23,21,11,85,51,21,12,19,41,28,5,30,15,19,10,11,15,16,22,6,17,14,9,33,26,16,47,27,28,13,3,22,23,11,4,14,21,85,1,57,13,40,16,21,34,6,26,66,69,2,17,22,14,25,46,10,21,44,27,33,]
[9,5,7,15,19,10,17,13,16,31,5,16,64,12,47,33,51,3,23,43,22,25,18,14,19,3,30,34,10,30,4,31,26,12,34,11,40,33,2,3,9,29,20,7,29,18,18,19,15,1,12,40,14,8,29,2,25,11,23,52,9,30,38,14,]
[32,14,27,3,27,8,63,38,10,35,42,20,114,4,11,12,9,49,20,51,5,4,48,6,46,16,26,5,27,3,26,7,2,10,94,9,32,45,14,46,10,13,9,40,38,17,37,7,4,21,19,5,29,31,23,11,17,20,3,1,42,33,13,37,]
[3,3,5,2,13,2,2,15,5,7,2,1,2,0,2,5,1,9,1,5,3,7,2,4,2,3,2,3,11,5,2,3,6,1,4,3,6,4,0,0,0,6,1,0,7,2,3,1,0,4,9,2,2,3,4,1,7,3,8,2,0,4,1,2,]
[2,3,2,6,2,3,6,2,2,2,4,3,1,4,1,2,7,5,4,3,0,1,1,3,18,2,5,4,7,1,3,2,1,3,9,2,2,4,3,4,5,1,2,1,4,3,2,1,1,0,2,4,5,3,2,3,3,1,1,8,1,3,0,4,]
[5,3,3,1,1,1,2,1,2,3,2,5,4,6,3,1,3,6,1,1,3,13,2,6,2,0,1,7,5,2,5,2,2,3,6,3,3,3,2,4,5,1,0,1,3,4,6,1,0,3,3,2,0,3,3,5,0,0,7,13,2,1,6,1,]
[2,1,2,4,2,2,2,2,2,1,0,2,2,1,1,4,5,0,7,3,2,0,0,1,4,1,8,5,0,1,8,1,9,8,3,0,0,1,2,3,2,3,0,2,6,1,1,2,0,1,9,5,5,1,2,5,0,2,4,5,11,5,1,4,]
[5,4,2,4,2,7,3,0,7,0,1,1,4,11,5,6,3,4,7,5,6,8,1,2,7,1,0,3,2,3,4,0,1,2,0,3,1,3,1,4,4,5,1,1,18,4,6,1,2,3,4,1,0,1,0,1,7,1,2,9,3,6,1,4,]
[8,6,6,3,11,1,1,3,2,6,5,3,1,5,11,1,1,3,2,6,3,1,3,1,6,2,2,5,11,5,3,4,6,5,2,9,9,2,2,4,8,10,0,8,7,6,7,0,5,26,7,7,5,8,1,4,3,0,4,1,8,3,7,0,]
[6,3,4,2,1,0,4,0,2,5,3,4,4,6,1,2,2,2,3,2,0,7,0,0,5,2,6,0,7,4,3,0,3,2,0,1,2,5,3,1,2,1,3,2,2,8,0,3,4,4,1,4,7,0,1,11,3,1,3,4,4,0,3,2,]
[2,2,3,1,2,4,4,3,4,6,6,8,8,2,1,0,0,2,4,0,6,4,3,2,3,6,11,4,2,1,4,3,8,8,1,1,1,2,14,6,4,2,1,0,3,4,2,1,0,2,3,2,2,5,8,6,8,5,8,7,3,3,3,3,]
[2,6,0,12,7,2,5,3,2,3,5,7,3,3,3,0,7,0,1,2,1,2,4,0,1,1,2,1,0,4,1,3,8,1,3,5,4,1,5,5,0,7,8,8,9,2,5,3,0,5,3,5,5,0,6,0,0,3,2,10,3,1,4,2,]
[3,0,4,0,6,3,0,3,4,6,9,6,2,5,2,1,16,5,4,1,1,1,3,12,4,3,8,4,3,2,0,7,6,5,1,8,7,2,3,9,3,3,2,0,2,6,1,1,1,1,6,4,7,4,6,0,1,4,5,1,5,2,8,2,]
[1,5,0,8,4,10,9,3,6,5,4,10,2,2,1,8,11,1,1,2,2,3,3,3,3,0,2,2,0,5,3,0,4,1,7,7,1,1,4,4,2,1,8,5,0,0,7,2,1,1,4,5,2,0,7,4,5,2,14,5,4,0,2,7,]
[6,5,0,0,1,4,4,2,4,7,3,0,1,1,5,2,2,1,1,4,4,7,0,0,4,5,2,3,0,1,3,4,11,7,2,1,1,2,6,2,5,0,5,5,4,4,6,1,9,2,3,1,2,3,0,8,4,7,5,3,0,0,4,5,]
[7,3,7,1,9,7,6,0,4,9,12,11,3,7,0,1,8,3,1,6,8,3,2,1,11,1,1,8,4,1,1,1,5,9,0,11,11,7,1,14,0,1,5,1,1,4,1,3,1,1,3,2,4,5,1,3,2,3,1,4,11,6,1,3,]
[2,3,4,5,0,4,3,0,0,10,9,3,4,1,1,1,2,1,6,3,5,6,4,0,7,2,5,6,1,0,1,2,2,2,2,3,0,2,1,12,4,6,7,9,1,1,1,3,5,5,3,5,6,0,2,1,5,6,5,1,1,1,8,0,]
[0,0,9,1,5,2,8,2,5,12,5,8,1,1,10,1,5,0,5,1,1,8,2,8,0,5,2,1,17,2,0,5,1,2,2,3,4,2,6,1,7,0,5,7,3,6,4,7,5,1,3,0,2,8,1,1,3,1,6,3,2,3,1,11,]
[17,5,39,1,44,9,10,16,1,17,45,2,13,34,20,46,0,16,6,39,5,19,12,31,33,13,15,2,32,3,49,26,61,12,21,8,23,1,11,5,10,9,19,20,21,5,53,51,24,30,2,2,39,14,5,61,4,40,5,11,16,103,4,39,]
[3,6,2,2,22,2,3,3,4,4,11,6,1,8,6,1,3,4,2,4,4,2,4,0,3,8,0,2,4,16,2,1,3,4,3,8,23,0,2,0,4,3,10,0,7,1,5,7,7,2,1,7,1,3,4,4,5,9,3,2,3,4,1,7,]
[0,2,4,6,4,3,0,3,1,5,2,6,6,5,9,2,2,1,1,0,2,1,0,4,0,1,2,0,3,4,1,2,3,2,4,1,7,4,1,2,2,2,1,3,2,1,5,1,1,2,0,2,3,1,6,1,2,3,0,0,1,0,6,2,]
[11,9,31,12,22,3,39,31,53,19,12,22,12,22,16,7,64,45,35,43,13,13,12,14,12,23,5,32,2,15,35,16,26,10,19,9,12,23,37,16,17,35,2,19,10,36,34,5,16,19,54,5,40,48,5,9,23,54,3,26,11,16,15,27,]
[12,26,13,6,5,11,79,7,13,22,72,7,38,30,30,10,36,35,17,20,58,61,17,20,26,9,25,39,43,19,34,10,35,8,23,27,19,28,8,7,8,60,14,9,13,29,58,6,10,11,97,19,12,19,35,9,27,9,22,7,16,1,38,34,]
[11,4,29,65,22,18,5,7,2,4,15,17,24,25,32,34,31,34,16,38,15,9,2,35,5,10,40,0,16,3,36,16,48,28,29,8,29,40,6,3,27,22,8,61,13,14,16,12,17,58,42,8,7,29,4,8,12,27,24,42,23,71,16,14,]
[40,4,17,2,15,6,6,18,14,2,24,24,43,25,30,13,54,28,45,46,9,53,5,2,4,29,8,1,50,12,6,16,43,7,44,2,17,13,44,36,8,29,16,8,24,28,17,26,20,27,65,2,17,6,2,48,32,6,7,25,10,22,71,39,]
[4,4,1,6,4,9,1,6,1,9,3,0,1,2,9,1,1,2,11,4,0,2,1,1,6,5,2,3,1,0,8,1,7,6,2,5,5,0,1,3,6,4,1,0,8,13,4,5,5,1,7,7,4,1,3,3,0,4,0,3,1,1,2,2,]
[7,2,1,8,5,6,5,8,3,1,3,0,1,1,0,7,1,4,4,7,2,4,1,2,7,5,6,0,3,1,4,0,7,6,5,0,4,5,1,4,8,4,2,5,1,2,8,6,7,1,0,6,3,7,2,6,14,8,2,6,7,7,4,1,]
[1,1,0,4,6,2,1,7,1,4,2,2,13,2,1,4,1,3,0,2,3,5,1,3,10,8,0,2,1,1,7,4,5,0,4,0,9,4,1,6,10,3,4,4,6,4,5,4,7,5,14,3,7,6,7,6,1,1,4,4,4,4,2,1,]
[0,6,1,6,3,3,3,2,0,2,4,6,5,0,2,3,1,3,1,0,1,2,6,4,1,4,8,0,7,2,10,3,3,0,2,1,5,7,8,7,8,0,0,4,6,4,3,3,6,4,1,5,1,5,4,0,3,5,3,3,0,2,5,1,]
