This is computation ability:
[
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
[30,91,10,65,27,71,252,27,172,90,89,11,80,408,80,96,119,39,22,1,75,26,245,39,22,17,46,59,55,48,8,56,51,0,19,38,137,152,9,44,49,129,109,158,90,6,76,6,53,10,26,13,22,92,223,13,86,76,207,40,42,9,277,23,]
[548,131,2,288,1169,125,41,177,450,1214,201,306,492,26,647,127,323,22,6,263,144,1700,69,178,65,5,408,150,46,240,161,593,224,829,705,562,676,103,1540,597,951,152,193,582,608,1328,613,52,717,1349,355,21,84,603,4,592,56,156,443,737,283,152,753,732,]
[22,47,3,300,90,49,371,88,7,3,110,97,26,12,36,317,2,185,19,18,16,224,99,270,220,86,72,49,33,104,351,61,80,27,199,53,23,175,51,73,243,28,5,62,222,50,12,148,35,69,385,104,205,83,36,242,10,262,57,136,185,18,17,52,]
[6,1,1,9,53,2,13,2,6,8,5,0,4,22,37,47,15,4,3,20,0,26,4,1,15,0,8,18,12,1,35,16,15,5,5,2,9,10,42,5,15,6,1,1,10,2,17,26,12,6,6,1,32,20,8,15,16,11,0,0,14,43,16,2,]
[0,1,6,4,5,2,19,31,8,13,16,2,8,2,14,4,36,7,1,2,2,4,13,7,0,2,6,26,12,7,2,0,4,3,3,7,10,9,13,1,3,5,2,19,2,11,20,0,4,0,0,24,19,3,3,1,15,9,16,23,3,8,20,9,]
[49,86,34,125,50,74,46,36,86,81,0,30,16,29,124,22,242,238,208,169,22,12,17,66,40,215,72,237,70,149,249,3,6,216,33,446,58,53,463,65,22,199,16,554,97,52,206,80,94,120,52,239,30,4,8,362,215,251,98,64,0,96,100,118,]
[101,277,13,81,186,321,242,148,23,36,130,100,59,77,72,714,237,11,168,11,295,137,24,175,26,34,25,47,152,274,49,336,144,178,164,66,1,80,155,19,19,356,9,10,4,100,242,121,167,129,105,117,280,74,206,122,298,257,250,465,539,114,236,9,]
[293,423,1,177,75,11,145,231,111,29,139,55,21,200,400,150,48,14,15,3,111,180,59,87,148,1,6,31,122,8,79,82,11,168,27,6,427,7,283,66,90,34,144,35,16,94,220,217,324,97,87,109,33,67,9,140,49,517,11,157,23,356,27,159,]
[3,141,32,38,91,121,93,45,113,47,78,165,21,310,534,117,43,50,271,46,18,132,744,10,250,124,266,129,68,80,125,171,19,20,49,156,31,303,211,143,100,39,55,34,37,57,48,10,33,45,13,232,2,42,135,27,232,24,245,9,37,217,29,85,]
[245,23,9,51,30,44,51,128,57,123,81,23,71,47,31,67,109,27,19,8,72,2,31,154,46,52,67,12,194,66,17,224,31,22,40,291,7,69,212,96,84,35,166,20,2,190,4,73,2,125,5,321,78,76,90,127,99,84,9,86,27,64,58,7,]
[247,238,15,69,92,1,38,56,11,61,78,294,59,26,178,6,8,44,43,8,19,13,130,2,42,63,13,370,23,36,29,87,162,360,175,7,59,40,103,119,29,99,12,32,15,44,10,48,85,45,158,136,131,27,62,347,225,140,2,331,61,22,209,178,]
[144,247,56,16,107,9,99,213,55,31,56,145,33,89,30,84,23,12,112,27,164,19,86,4,264,204,99,101,261,49,2,199,21,48,76,13,55,302,208,78,41,172,99,259,130,29,1,131,399,323,37,372,20,31,181,128,400,288,10,76,122,8,24,32,]
[34,2,1,85,156,16,98,66,60,1,296,113,18,21,77,19,200,54,55,9,214,114,8,49,84,189,283,45,70,38,188,230,279,80,127,72,139,24,14,10,30,113,1,49,25,40,49,191,23,11,75,20,53,13,13,73,21,95,112,27,104,71,6,31,]
[780,520,637,1012,393,356,201,402,127,573,2033,361,111,10,2829,83,532,158,432,112,621,365,261,329,849,145,1407,261,655,297,699,15,1178,1160,371,4,0,613,428,104,425,834,106,726,221,255,396,230,26,597,49,439,573,53,209,992,223,956,901,4,113,1312,124,34,]
[359,21,216,57,6,14,71,206,227,2,40,18,49,132,212,10,44,13,135,242,23,82,359,65,227,231,140,43,234,263,14,27,90,46,295,80,116,46,203,287,9,126,10,217,150,69,187,65,379,6,44,47,46,126,168,22,245,66,44,43,100,115,394,235,]
[19,4,13,4,22,3,6,4,2,4,3,24,2,24,50,6,0,3,24,2,0,2,7,14,0,37,10,2,8,9,14,7,5,29,18,11,29,10,3,4,14,9,6,20,7,6,13,16,7,7,28,1,17,9,5,13,7,8,6,17,5,8,11,10,]
[0,17,15,1,10,4,1,5,6,32,9,16,15,11,11,3,3,17,43,17,0,3,4,5,13,25,2,9,3,1,19,3,3,11,6,53,2,32,7,1,1,12,6,20,4,18,11,7,2,5,2,19,7,0,9,3,19,5,0,7,5,1,13,4,]
[21,11,368,120,151,17,136,3,26,57,58,117,141,37,177,199,82,24,78,133,128,64,116,133,255,18,189,23,91,288,70,83,132,104,173,174,73,38,107,247,64,50,6,74,12,93,17,140,56,102,86,76,82,130,58,70,70,57,21,15,44,147,32,209,]
[80,91,204,152,285,70,245,130,18,116,3,177,60,68,139,0,22,0,17,38,105,297,317,62,189,20,14,156,221,55,56,105,199,49,61,121,1,31,232,108,13,108,295,143,165,204,98,32,8,40,166,159,59,407,13,99,95,16,168,49,52,5,23,47,]
[296,437,60,168,80,406,16,88,231,5,7,184,162,216,250,164,226,157,18,11,32,53,29,578,168,180,193,217,19,42,12,82,14,3,86,66,71,83,153,36,179,12,355,31,308,665,313,57,0,66,184,66,2,76,17,161,178,16,143,90,29,251,45,311,]
[64,185,62,50,61,7,5,53,85,24,33,183,91,19,34,23,12,1,76,322,220,0,128,0,129,71,104,384,146,191,64,103,195,1,165,79,296,124,268,62,325,400,80,19,1,170,94,36,18,144,15,106,135,146,78,51,13,118,13,305,116,219,67,72,]
[23,71,59,107,102,518,0,271,29,20,198,1,111,234,3,61,54,28,435,51,39,9,41,70,36,72,395,52,150,63,142,126,27,139,145,87,114,62,272,3,141,46,16,85,226,2,320,73,220,37,212,48,41,192,278,36,9,155,82,12,31,309,205,27,]
[34,47,30,68,99,118,234,22,236,427,74,44,153,0,13,82,14,115,1,495,85,336,35,28,143,145,28,182,46,56,66,209,90,118,86,259,44,110,151,5,221,121,302,31,107,28,96,221,4,6,239,7,16,41,15,226,42,13,60,47,1,141,79,61,]
[51,31,121,1,52,42,50,250,111,24,22,2,2,51,149,10,34,127,116,109,50,23,61,27,13,7,13,11,110,69,69,35,38,78,8,34,250,236,116,60,40,270,57,10,156,56,50,157,32,17,78,18,44,8,117,194,113,61,175,1,212,169,95,8,]
[43,70,46,77,27,37,0,87,106,36,8,8,24,41,88,29,5,68,90,48,1,41,194,115,105,169,130,0,39,38,342,74,7,64,202,52,0,10,125,121,19,57,43,119,153,50,39,23,30,198,59,126,20,42,11,13,120,44,340,15,93,358,252,49,]
[23,984,169,546,687,661,694,329,167,201,127,196,104,223,406,689,424,570,395,269,256,1141,282,136,25,642,64,521,267,648,419,255,1406,203,1231,271,798,172,652,1019,159,317,172,301,457,196,759,9,249,160,751,44,2562,8,12,92,231,239,361,45,461,153,664,1840,]
[118,28,86,121,79,90,0,133,102,30,91,74,12,18,46,127,10,46,81,59,38,142,27,13,247,180,78,97,130,27,55,47,85,343,112,141,110,85,143,111,37,115,54,16,30,87,31,309,50,110,27,23,386,149,75,94,38,19,41,88,4,187,395,153,]
[16,5,7,18,10,6,23,0,0,19,13,12,12,13,1,2,17,0,1,3,6,4,19,8,2,8,50,24,6,16,5,25,16,5,0,10,24,12,1,0,2,5,15,1,30,14,16,14,3,16,10,15,17,20,33,5,18,0,2,1,25,1,4,8,]
[17,8,2,1,3,2,2,2,10,6,7,3,5,2,18,1,6,0,6,11,0,1,0,25,17,0,0,4,10,0,4,13,14,5,2,5,4,34,12,8,3,1,8,2,15,5,2,5,9,10,12,2,5,2,3,9,2,10,0,4,6,14,3,17,]
[596,465,76,44,22,192,133,21,10,14,236,104,61,67,73,3,2,143,353,48,31,220,12,3,70,60,38,206,15,22,51,190,166,225,79,137,157,10,8,58,21,10,3,681,20,499,88,14,39,104,304,1,307,6,28,201,53,318,58,115,79,211,12,145,]
[103,86,49,29,95,61,32,107,100,441,3,15,20,15,134,112,208,26,109,46,406,50,162,50,176,111,10,130,68,136,48,10,2,222,49,224,150,21,272,19,68,214,181,11,248,97,12,56,158,12,38,223,445,321,160,66,16,21,91,322,31,64,50,143,]
